"county_code","year","population","deaths","rate","deaths_per_100k","predicted_deaths_per_100k","excess_pct"
"01001",2021,9082,495,42.9,5450.34133450782,5045.22027257603,8.02979929605609
"01001",2022,9082,459,57.1,5053.95287381634,5164.00350150248,-2.13111063255704
"01001",2023,9082,404,58,4448.35939220436,5282.78673042895,-15.7952115200539
"01001",2024,9082,442,58,4866.76943404536,5401.5699593554,-9.90083493010721
"01003",2021,49485,2286,54.2,4619.58169142164,3980.60992689403,16.0521069952259
"01003",2022,49485,2137,65.9,4318.48034758007,4003.15108262232,7.8770263337448
"01003",2023,49485,2091,67,4225.52288572295,4025.69223835062,4.96388286885545
"01003",2024,49485,2110,67,4263.91835909872,4048.2333940789,5.32787870717342
"01005",2021,4982,269,46.4,5399.43797671618,5361.16937567102,0.713810707395768
"01005",2022,4982,233,57,4676.83661180249,5554.39387121494,-15.7993343605015
"01005",2023,4982,205,57.7,4114.81332798073,5747.61836675886,-28.4083760366102
"01005",2024,4982,206,57.7,4134.88558811722,5940.84286230284,-30.3990076163297
"01007",2021,3780,224,37.1,5925.92592592593,5382.83402460441,10.0893302457236
"01007",2022,3780,189,43.2,5000,5520.79703402543,-9.43336679134701
"01007",2023,3780,203,43.9,5370.37037037037,5658.76004344644,-5.0963403795512
"01007",2024,3780,183,43.9,4841.26984126984,5796.72305286746,-16.4826437779356
"01009",2021,10999,591,32.7,5373.21574688608,5395.87113116618,-0.419865184497069
"01009",2022,10999,600,39.2,5455.04136739704,5563.90389804612,-1.95658538759651
"01009",2023,10999,551,39.6,5009.54632239295,5731.936664926,-12.6029016851041
"01009",2024,10999,522,39.6,4745.88598963542,5899.96943180589,-19.560837653649
"01011",2021,1763,85,53.1,4821.32728304027,5251.09330686603,-8.18431512660074
"01011",2022,1763,77,71.1,4367.55530346001,5256.75387894782,-16.915354912256
"01011",2023,1763,84,72.2,4764.60578559274,5262.41445102961,-9.459700866766
"01011",2024,1763,89,72.2,5048.2132728304,5268.0750231114,-4.1734741687703
"01013",2021,4171,211,43.7,5058.73891153201,5054.7118296324,0.0796698612172946
"01013",2022,4171,205,50.7,4914.88851594342,5126.53920060571,-4.12852952801535
"01013",2023,4171,218,51.4,5226.56437305203,5198.36657157904,0.54243580333773
"01013",2024,4171,213,51.4,5106.68904339487,5270.19394255237,-3.10244558245458
"01015",2021,21030,1234,48.6,5867.8078934855,5655.93567854768,3.74601528340251
"01015",2022,21030,1216,58.4,5782.21588207323,5759.88918899206,0.387623656438295
"01015",2023,21030,1139,59.1,5416.07227769853,5863.84269943647,-7.6361260812978
"01015",2024,21030,1079,59.1,5130.76557299097,5967.79620988085,-14.0257912209538
"01017",2021,6768,406,32.3,5998.81796690307,5993.38044081279,0.0907255286725151
"01017",2022,6768,365,39,5393.02600472813,6239.70161354443,-13.5691682271862
"01017",2023,6768,346,39.4,5112.29314420804,6486.02278627607,-21.17984606799
"01017",2024,6768,320,39.4,4728.13238770686,6732.3439590077,-29.769892677858
"01019",2021,6382,321,33,5029.77123158884,5062.68823367287,-0.650188211572917
"01019",2022,6382,290,38.7,4544.03008461297,5235.57869042025,-13.2086374152419
"01019",2023,6382,297,39.3,4653.71356941398,5408.46914716758,-13.9550685640662
"01019",2024,6382,287,39.3,4497.02287684112,5581.3596039149,-19.4278241149917
"01021",2021,7771,443,37.7,5700.68202290568,5282.67455994914,7.91279981783621
"01021",2022,7771,419,45.1,5391.84146184532,5362.30037942572,0.550903163368898
"01021",2023,7771,388,45.6,4992.92240380903,5441.92619890231,-8.25082477568039
"01021",2024,7771,404,45.6,5198.8161111826,5521.55201837889,-5.84502158309907
"01023",2021,2982,157,70.3,5264.92287055667,4498.59045633722,17.0349450935216
"01023",2022,2982,158,84,5298.45741113347,4478.22328121885,18.3160614914978
"01023",2023,2982,140,85.1,4694.83568075117,4457.85610610049,5.315998744921
"01023",2024,2982,108,85.1,3621.73038229376,4437.48893098212,-18.3833370939318
"01025",2021,4861,276,55.8,5677.8440650072,5955.99729221291,-4.67013689830545
"01025",2022,4861,265,63.9,5451.55317835836,6240.74673268083,-12.6458192925809
"01025",2023,4861,244,64.4,5019.54330384694,6525.49617314874,-23.0779825678011
"01025",2024,4861,247,64.4,5081.25900020572,6810.24561361666,-25.3880213946166
"01027",2021,2805,165,45.3,5882.35294117647,5886.83837007824,-0.0761941915132525
"01027",2022,2805,163,51.7,5811.05169340463,6123.94405980496,-5.10932763827836
"01027",2023,2805,158,52.5,5632.79857397504,6361.04974953167,-11.4486005334299
"01027",2024,2805,130,52.5,4634.58110516934,6598.15543925838,-29.7594434105926
"01029",2021,3034,178,32.7,5866.84245220831,5558.05584259977,5.55565863951626
"01029",2022,3034,158,35.1,5207.6466710613,5741.36579915404,-9.29603071400492
"01029",2023,3034,167,35.4,5504.28477257746,5924.6757557083,-7.09559477117056
"01029",2024,3034,153,35.4,5042.84772577456,6107.98571226263,-17.4384492149296
"01031",2021,9371,500,40.5,5335.60986020702,5370.18685464672,-0.643869484909553
"01031",2022,9371,465,61,4962.11716999253,5560.3991739481,-10.7596952168232
"01031",2023,9371,452,61.9,4823.39131362715,5750.61149324948,-16.1238536234065
"01031",2024,9371,399,61.9,4257.8166684452,5940.82381255081,-28.3295246115534
"01033",2021,11387,614,50.2,5392.11381399842,5275.04739242102,2.21924871699906
"01033",2022,11387,592,58.1,5198.91103890401,5318.62702306012,-2.25088135785895
"01033",2023,11387,573,58.8,5032.05409677703,5362.20665369922,-6.15702784775055
"01033",2024,11387,595,58.8,5225.25687187143,5405.78628433832,-3.33955881663169
